Date;Liabilities/Debt,%;Age;Type_of_accommodation;Duration_of_stay_in_the_region;Family_status;Borrower class;Education;Work_experience_in_last_place;Job_level;Credit_history
03.03.2018;42;24;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;отрицательная
03.03.2018;39;25;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;руководитель среднего звена;нет данных
03.03.2018;22;27;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;руководитель высшего звена;нет данных
03.03.2018;24;29;Собственник;менее 1 года;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
03.03.2018;40;28;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
03.03.2018;26;37;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;положительная
03.03.2018;37;25;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;руководитель среднего звена;нет данных
03.03.2018;34;29;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;среднее;менее 1 года;сотрудник;положительная
03.03.2018;27;38;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
04.03.2018;17;54;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
04.03.2018;33;29;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;отрицательная
04.03.2018;27;35;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;среднее;менее 1 года;сотрудник;положительная
04.03.2018;24;40;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
04.03.2018;24;34;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель высшего звена;положительная
04.03.2018;48;38;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
04.03.2018;24;23;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
04.03.2018;33;39;Аренда;от 1 до 5 лет;Женат/замужем;хороший;среднее;свыше 3 лет;сотрудник;положительная
04.03.2018;35;58;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
05.03.2018;34;23;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;положительная
05.03.2018;47;37;Муниципальное жилье;свыше 5 лет;Разведен(а)/Вдовство;хороший;среднее;свыше 3 лет;сотрудник;нет данных
05.03.2018;41;29;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
05.03.2018;42;25;Собственник;свыше 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;25;34;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
05.03.2018;53;39;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
05.03.2018;11;30;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;руководитель среднего звена;нет данных
05.03.2018;35;32;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель высшего звена;нет данных
05.03.2018;31;37;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
05.03.2018;45;33;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;21;30;Собственник;менее 1 года;Другое;хороший;среднее;менее 1 года;сотрудник;нет данных
05.03.2018;53;42;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
05.03.2018;35;24;Муниципальное жилье;менее 1 года;Разведен(а)/Вдовство;хороший;высшее;свыше 3 лет;руководитель высшего звена;нет данных
05.03.2018;45;47;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;среднее;от 1 года до 3 лет;руководитель высшего звена;нет данных
05.03.2018;33;59;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;руководитель среднего звена;нет данных
05.03.2018;53;55;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;39;35;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
05.03.2018;17;24;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
05.03.2018;33;42;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
05.03.2018;44;33;Аренда;от 1 до 5 лет;Женат/замужем;хороший;среднее;менее 1 года;сотрудник;нет данных
05.03.2018;36;35;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
05.03.2018;35;30;Собственник;от 1 до 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
05.03.2018;33;41;Собственник;свыше 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;отрицательная
05.03.2018;31;55;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;высшее;менее 1 года;сотрудник;нет данных
05.03.2018;33;30;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
05.03.2018;20;35;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
05.03.2018;36;34;Собственник;свыше 5 лет;Другое;хороший;среднее;свыше 3 лет;руководитель среднего звена;отрицательная
05.03.2018;46;43;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель среднего звена;отрицательная
05.03.2018;40;24;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
05.03.2018;37;43;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;37;32;Собственник;свыше 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
05.03.2018;20;25;Аренда;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
05.03.2018;21;30;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;положительная
05.03.2018;14;28;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
05.03.2018;52;40;Аренда;от 1 до 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;40;28;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
05.03.2018;17;45;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;23;38;Собственник;от 1 до 5 лет;Другое;хороший;высшее;свыше 3 лет;сотрудник;нет данных
05.03.2018;15;37;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
05.03.2018;36;33;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
05.03.2018;45;44;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
05.03.2018;34;44;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;положительная
05.03.2018;38;29;Муниципальное жилье;менее 1 года;Другое;хороший;среднее;свыше 3 лет;сотрудник;нет данных
05.03.2018;30;45;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
05.03.2018;44;30;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;положительная
06.03.2018;41;29;Собственник;от 1 до 5 лет;Другое;хороший;среднее;свыше 3 лет;руководитель среднего звена;положительная
06.03.2018;49;34;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
06.03.2018;43;38;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
06.03.2018;40;39;Аренда;менее 1 года;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
06.03.2018;36;41;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
06.03.2018;31;31;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
06.03.2018;30;53;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;менее 1 года;руководитель высшего звена;положительная
06.03.2018;31;28;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
06.03.2018;34;30;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
06.03.2018;19;44;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
06.03.2018;30;40;Собственник;менее 1 года;Женат/замужем;хороший;среднее;свыше 3 лет;руководитель среднего звена;положительная
06.03.2018;47;47;Собственник;от 1 до 5 лет;Другое;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
06.03.2018;40;25;Аренда;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
06.03.2018;46;27;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
06.03.2018;46;42;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
06.03.2018;49;30;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее;менее 1 года;руководитель среднего звена;нет данных
06.03.2018;32;42;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;менее 1 года;сотрудник;положительная
06.03.2018;21;43;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
06.03.2018;26;37;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее;менее 1 года;сотрудник;нет данных
06.03.2018;12;35;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
06.03.2018;23;29;Аренда;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
06.03.2018;40;29;Собственник;менее 1 года;Женат/замужем;хороший;среднее;свыше 3 лет;руководитель среднего звена;положительная
06.03.2018;47;31;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;среднее;менее 1 года;сотрудник;нет данных
06.03.2018;38;43;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее;менее 1 года;руководитель среднего звена;отрицательная
06.03.2018;49;39;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
06.03.2018;27;28;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;сотрудник;нет данных
06.03.2018;28;35;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
07.03.2018;22;39;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;положительная
07.03.2018;50;55;Аренда;от 1 до 5 лет;Холост/Не замужем;плохой;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
07.03.2018;32;47;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель высшего звена;нет данных
07.03.2018;34;36;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;среднее;от 1 года до 3 лет;сотрудник;нет данных
07.03.2018;48;30;Аренда;от 1 до 5 лет;Холост/Не замужем;плохой;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
07.03.2018;37;36;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;среднее;свыше 3 лет;сотрудник;положительная
07.03.2018;32;36;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
07.03.2018;53;22;Муниципальное жилье;свыше 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
07.03.2018;11;40;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
07.03.2018;35;22;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;руководитель среднего звена;нет данных
07.03.2018;22;42;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее;менее 1 года;сотрудник;положительная
07.03.2018;18;43;Муниципальное жилье;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
07.03.2018;25;29;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;плохой;высшее;от 1 года до 3 лет;сотрудник;отрицательная
07.03.2018;30;56;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
07.03.2018;42;34;Аренда;свыше 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
08.03.2018;55;27;Муниципальное жилье;свыше 5 лет;Женат/замужем;плохой;среднее специальное;менее 1 года;сотрудник;отрицательная
09.03.2018;30;27;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
09.03.2018;46;35;Аренда;свыше 5 лет;Женат/замужем;плохой;среднее специальное;менее 1 года;сотрудник;отрицательная
09.03.2018;20;29;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
09.03.2018;36;31;Собственник;свыше 5 лет;Другое;хороший;высшее;свыше 3 лет;сотрудник;положительная
09.03.2018;48;43;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель высшего звена;нет данных
09.03.2018;17;59;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;отрицательная
09.03.2018;40;42;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
09.03.2018;38;33;Собственник;менее 1 года;Другое;хороший;среднее;менее 1 года;руководитель среднего звена;положительная
09.03.2018;46;27;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
09.03.2018;34;31;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
09.03.2018;29;31;Собственник;менее 1 года;Женат/замужем;плохой;среднее;менее 1 года;руководитель среднего звена;нет данных
09.03.2018;14;28;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель высшего звена;положительная
09.03.2018;31;38;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
09.03.2018;29;23;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
09.03.2018;52;30;Аренда;свыше 5 лет;Другое;плохой;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
09.03.2018;22;29;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;сотрудник;нет данных
09.03.2018;17;27;Собственник;менее 1 года;Другое;хороший;среднее;свыше 3 лет;руководитель среднего звена;нет данных
09.03.2018;22;38;Аренда;менее 1 года;Холост/Не замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
09.03.2018;15;39;Аренда;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
09.03.2018;29;37;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
09.03.2018;35;37;Собственник;менее 1 года;Другое;плохой;среднее специальное;свыше 3 лет;сотрудник;отрицательная
09.03.2018;30;44;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее;свыше 3 лет;руководитель среднего звена;положительная
09.03.2018;25;31;Собственник;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
09.03.2018;30;35;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
09.03.2018;26;27;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
10.03.2018;12;45;Муниципальное жилье;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
10.03.2018;38;40;Собственник;свыше 5 лет;Разведен(а)/Вдовство;плохой;высшее;от 1 года до 3 лет;сотрудник;отрицательная
10.03.2018;53;24;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
10.03.2018;23;25;Муниципальное жилье;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
10.03.2018;18;51;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
10.03.2018;49;35;Аренда;свыше 5 лет;Разведен(а)/Вдовство;плохой;среднее;свыше 3 лет;сотрудник;нет данных
10.03.2018;23;38;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;положительная
10.03.2018;39;36;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
10.03.2018;44;29;Собственник;свыше 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
10.03.2018;55;29;Муниципальное жилье;менее 1 года;Женат/замужем;плохой;среднее;свыше 3 лет;руководитель среднего звена;нет данных
10.03.2018;27;32;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;руководитель высшего звена;нет данных
10.03.2018;12;39;Аренда;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
10.03.2018;12;38;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
10.03.2018;30;36;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
12.03.2018;15;42;Собственник;от 1 до 5 лет;Другое;хороший;среднее;свыше 3 лет;сотрудник;нет данных
12.03.2018;20;27;Аренда;свыше 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
12.03.2018;45;27;Собственник;менее 1 года;Другое;хороший;среднее специальное;менее 1 года;сотрудник;положительная
12.03.2018;49;48;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель среднего звена;положительная
12.03.2018;28;43;Собственник;менее 1 года;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
12.03.2018;34;40;Муниципальное жилье;свыше 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
12.03.2018;46;31;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
12.03.2018;24;33;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
12.03.2018;28;34;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
12.03.2018;18;41;Собственник;менее 1 года;Женат/замужем;хороший;среднее;менее 1 года;руководитель среднего звена;нет данных
12.03.2018;14;34;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
12.03.2018;33;29;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
12.03.2018;34;30;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;среднее;менее 1 года;сотрудник;положительная
12.03.2018;36;28;Муниципальное жилье;свыше 5 лет;Другое;плохой;среднее специальное;от 1 года до 3 лет;сотрудник;отрицательная
12.03.2018;40;39;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
12.03.2018;34;31;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;положительная
12.03.2018;37;40;Собственник;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;отрицательная
12.03.2018;38;40;Аренда;от 1 до 5 лет;Женат/замужем;плохой;среднее;менее 1 года;руководитель среднего звена;нет данных
12.03.2018;29;23;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
12.03.2018;38;52;Собственник;свыше 5 лет;Другое;плохой;среднее;менее 1 года;сотрудник;отрицательная
12.03.2018;13;47;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;положительная
12.03.2018;26;50;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
12.03.2018;31;34;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
12.03.2018;42;34;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
12.03.2018;49;45;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
12.03.2018;48;54;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее;менее 1 года;сотрудник;нет данных
12.03.2018;37;53;Муниципальное жилье;менее 1 года;Другое;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
12.03.2018;27;47;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;положительная
12.03.2018;21;31;Собственник;менее 1 года;Другое;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
12.03.2018;12;39;Муниципальное жилье;свыше 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
12.03.2018;50;35;Аренда;менее 1 года;Холост/Не замужем;хороший;среднее;менее 1 года;сотрудник;отрицательная
12.03.2018;19;38;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
13.03.2018;36;30;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;отрицательная
13.03.2018;36;41;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
13.03.2018;15;29;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
13.03.2018;42;33;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;отрицательная
13.03.2018;34;42;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
13.03.2018;34;45;Собственник;свыше 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;положительная
13.03.2018;38;31;Аренда;менее 1 года;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
13.03.2018;52;39;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
13.03.2018;29;40;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
13.03.2018;20;32;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
13.03.2018;18;34;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;руководитель среднего звена;отрицательная
13.03.2018;50;35;Аренда;свыше 5 лет;Холост/Не замужем;хороший;среднее;свыше 3 лет;сотрудник;отрицательная
13.03.2018;54;38;Аренда;менее 1 года;Разведен(а)/Вдовство;хороший;среднее;свыше 3 лет;руководитель среднего звена;нет данных
13.03.2018;17;28;Собственник;менее 1 года;Другое;хороший;среднее;менее 1 года;сотрудник;положительная
13.03.2018;53;30;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
13.03.2018;20;56;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
13.03.2018;19;55;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;от 1 года до 3 лет;руководитель среднего звена;нет данных
13.03.2018;32;43;Собственник;свыше 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель высшего звена;положительная
